result,docket_padded,docket,district_name
NONE,7001303,7001303,ma
NONE,7100539,7100539,ma
NONE,7101284,7101284,ma
NONE,7101885,7101885,ma
NONE,7101951,7101951,ma
NONE,7102942,7102942,ma
NONE,7200039,7200039,ma
NONE,7200485,7200485,ma
NONE,7200688,7200688,ma
NONE,7201159,7201159,ma
NONE,7201670,7201670,ma
NONE,7202550,7202550,ma
NONE,7203320,7203320,ma
NONE,7301223,7301223,ma
NONE,7301957,7301957,ma
NONE,7302002,7302002,ma
NONE,7302151,7302151,ma
NONE,7302252,7302252,ma
NONE,7302315,7302315,ma
NONE,7302574,7302574,ma
NONE,7302885,7302885,ma
NONE,7304278,7304278,ma
NONE,6700401,6700401,ma
NONE,6900957,6900957,ma
NONE,7000654,7000654,ma
NONE,7000846,7000846,ma
NONE,7102155,7102155,ma
NONE,7102188,7102188,ma
NONE,7102501,7102501,ma
NONE,7102755,7102755,ma
NONE,7200931,7200931,ma
NONE,7201954,7201954,ma
NONE,7201978,7201978,ma
NONE,7202075,7202075,ma
NONE,7202893,7202893,ma
NONE,7203271,7203271,ma
NONE,7300352,7300352,ma
NONE,6600030,6600030,ma
NONE,6700782,6700782,ma
NONE,6800975,6800975,ma
NONE,6800990,6800990,ma
NONE,6900147,6900147,ma
NONE,6900481,6900481,ma
NONE,6900852,6900852,ma
NONE,7001807,7001807,ma
NONE,7001912,7001912,ma
NONE,7100016,7100016,ma
NONE,7100522,7100522,ma
NONE,7100567,7100567,ma
NONE,7101253,7101253,ma
NONE,7101562,7101562,ma
NONE,7101576,7101576,ma
NONE,7101588,7101588,ma
NONE,7200002,7200002,ma
NONE,7200413,7200413,ma
NONE,7201775,7201775,ma
NONE,0570938,0570938,ma
NONE,6400917,6400917,ma
NONE,6700729,6700729,ma
NONE,6700730,6700730,ma
NONE,6900279,6900279,ma
NONE,6900406,6900406,ma
NONE,6900656,6900656,ma
NONE,6900997,6900997,ma
NONE,7000632,7000632,ma
NONE,7000984,7000984,ma
NONE,7001356,7001356,ma
NONE,7100073,7100073,ma
NONE,7100622,7100622,ma
NONE,0007198,0007198,ma
NONE,6400933,6400933,ma
NONE,6500382,6500382,ma
NONE,6500887,6500887,ma
NONE,6600550,6600550,ma
NONE,6600670,6600670,ma
NONE,6700425,6700425,ma
NONE,6800723,6800723,ma
NONE,6800913,6800913,ma
NONE,6801099,6801099,ma
NONE,7000051,7000051,ma
NONE,8000577,8000577,ma
NONE,8100714,8100714,ma
NONE,8101852,8101852,ma
NONE,8300055,8300055,ma
NONE,8300205,8300205,ma
NONE,8303351,8303351,ma
NONE,8303399,8303399,ma
NONE,8401363,8401363,ma
NONE,8403266,8403266,ma
NONE,8403561,8403561,ma
NONE,8403777,8403777,ma
NONE,8403877,8403877,ma
NONE,8404065,8404065,ma
NONE,8500801,8500801,ma
NONE,8501031,8501031,ma
NONE,8502212,8502212,ma
NONE,8502213,8502213,ma
NONE,8502214,8502214,ma
NONE,7201656,7201656,ma
NONE,7301925,7301925,ma
NONE,7901678,7901678,ma
NONE,7901784,7901784,ma
NONE,8100256,8100256,ma
NONE,8101880,8101880,ma
NONE,8200461,8200461,ma
NONE,8200462,8200462,ma
NONE,8200741,8200741,ma
NONE,8303913,8303913,ma
NONE,8401325,8401325,ma
NONE,8401624,8401624,ma
NONE,8403933,8403933,ma
NONE,8500681,8500681,ma
NONE,8500843,8500843,ma
NONE,8501726,8501726,ma
NONE,8501935,8501935,ma
NONE,8502639,8502639,ma
NONE,8502784,8502784,ma
NONE,8502924,8502924,ma
NONE,8504333,8504333,ma
NONE,8601190,8601190,ma
NONE,8601227,8601227,ma
NONE,8601489,8601489,ma
NONE,8601567,8601567,ma
NONE,8602533,8602533,ma
NONE,8602763,8602763,ma
NONE,8603640,8603640,ma
NONE,8700147,8700147,ma
